Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_OU877722.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_OU877723.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid 7, complete sequence"	plasmid 7	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_OU877721.1	"Klebsiella pneumoniae isolate 179KP-HG plasmid p179KP_NDM21, complete sequence"	p179KP_NDM21	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2016	Spain	NA	NA
NZ_LT216440.1	"Klebsiella pneumoniae isolate 207M1D0-sc-2013-04-03T11:21:06Z-1606409 plasmid KPN207_p4, complete sequence"	KPN207_p4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP016925.1	"Klebsiella pneumoniae isolate 23 plasmid pCTXM15_DHQP1400954, complete sequence"	pCTXM15_DHQP1400954	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP016924.1	"Klebsiella pneumoniae isolate 23 plasmid pIncFIB_DHQP1400954, complete sequence"	pIncFIB_DHQP1400954	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP016927.1	"Klebsiella pneumoniae isolate 23 plasmid pIncL_M_DHQP1400954, complete sequence"	pIncL_M_DHQP1400954	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP022144.1	"Klebsiella pneumoniae isolate 704SK6 plasmid p704SK6_1, complete sequence"	p704SK6_1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP022145.1	"Klebsiella pneumoniae isolate 704SK6 plasmid p704SK6_2, complete sequence"	p704SK6_2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP022146.1	"Klebsiella pneumoniae isolate 704SK6 plasmid p704SK6_3, complete sequence"	p704SK6_3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP022147.1	"Klebsiella pneumoniae isolate 704SK6 plasmid p704SK6_4, complete sequence"	p704SK6_4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP015823.1	"Klebsiella pneumoniae isolate blood sample 2 plasmid 1, complete sequence"	plasmid 1	205221	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	47.5596 N 7.58860000 E	blood	NA
NZ_CP015824.1	"Klebsiella pneumoniae isolate blood sample 2 plasmid 2, complete sequence"	2	103147	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	47.5596 N 7.58860000 E	blood	NA
NZ_CP015825.1	"Klebsiella pneumoniae isolate blood sample 2 plasmid 3, complete sequence"	plasmid 3	43322	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2010	47.5596 N 7.58860000 E	blood	NA
NZ_LT994837.1	"Klebsiella pneumoniae isolate CNR132 plasmid CNR132, complete sequence"	CNR132	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994834.1	"Klebsiella pneumoniae isolate CNR3 plasmid CNR3, complete sequence"	CNR3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994836.1	"Klebsiella pneumoniae isolate CNR339 plasmid CNR339, complete sequence"	CNR339	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994833.1	"Klebsiella pneumoniae isolate CNR341 plasmid CNR341, complete sequence"	CNR341	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994835.1	"Klebsiella pneumoniae isolate CNR48 plasmid CNR48, complete sequence"	CNR48	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994840.1	"Klebsiella pneumoniae isolate CNR48 plasmid CNR48, complete sequence"	CNR48	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LT994839.1	"Klebsiella pneumoniae isolate CNR95 plasmid CNR95, complete sequence"	CNR95	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LR025100.1	"Klebsiella pneumoniae isolate EC-12536 plasmid pOXA-48_A12536, complete sequence"	pOXA-48_A12536	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_HG969999.1	"Klebsiella pneumoniae isolate FIPP-1 plasmid pIT-FIPP-1, complete sequence"	pIT-FIPP-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LR890203.1	"Klebsiella pneumoniae isolate INF008-sc-2279879 plasmid 2, complete sequence"	plasmid2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890494.1	"Klebsiella pneumoniae isolate INF018-sc-2279888 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
