Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_KJ187752.1	"Klebsiella pneumoniae strain 7433 plasmid pTR2, complete sequence"	pTR2	133650	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK249861.1	"Klebsiella pneumoniae strain 78B plasmid unnamed, complete sequence"	unnamed	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MW013143.1	"Klebsiella pneumoniae strain 79 plasmid pZZ79-HI3, complete sequence"	pZZ79-HI3	259691	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	China: Zhengzhou	NA	NA
NZ_MH909333.1	"Klebsiella pneumoniae strain 7-SP plasmid p7SP-NDM, complete sequence"	p7SP-NDM	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP017986.1	"Klebsiella pneumoniae strain 825795-1 plasmid unnamed1, complete sequence"	unnamed1	244706	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014/5/14	51.53919016 N 9.91156249 E	anal swab	NA
NZ_CP017987.1	"Klebsiella pneumoniae strain 825795-1 plasmid unnamed2, complete sequence"	unnamed2	117168	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014/5/14	51.53919016 N 9.91156249 E	anal swab	NA
NZ_CP017988.1	"Klebsiella pneumoniae strain 825795-1 plasmid unnamed3, complete sequence"	unnamed3	73221	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014/5/14	51.53919016 N 9.91156249 E	anal swab	NA
NZ_CP017989.1	"Klebsiella pneumoniae strain 825795-1 plasmid unnamed4, complete sequence"	unnamed4	61011	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014/5/14	51.53919016 N 9.91156249 E	anal swab	NA
NZ_CP085893.1	"Klebsiella pneumoniae strain 8695 plasmid p4, complete sequence"	p4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP085890.1	"Klebsiella pneumoniae strain 8695 plasmid pFK8695-KPC-33, complete sequence"	pFK8695-KPC-33	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP085891.1	"Klebsiella pneumoniae strain 8695 plasmid pFK8695-rmpA, complete sequence"	pFK8695-rmpA	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP085892.1	"Klebsiella pneumoniae strain 8695 plasmid pFK8695-tetA, complete sequence"	pFK8695-tetA	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MT809692.1	"Klebsiella pneumoniae strain 9 isolate contig00047_9 plasmid pFIA-R, complete sequence"	pFIA-R	72483	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK249856.1	"Klebsiella pneumoniae strain 91 plasmid unnamed, complete sequence"	unnamed	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK036888.1	"Klebsiella pneumoniae strain 911021 plasmid p911021-KPC, complete sequence"	p911021-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK249857.1	"Klebsiella pneumoniae strain 98 plasmid unnamed, complete sequence"	unnamed	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LC505604.1	"Klebsiella pneumoniae strain A1-1 plasmid pA1-1, complete sequence"	pA1-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LC505603.1	"Klebsiella pneumoniae strain A1-1 plasmid pCol440I-A1-1, complete sequence"	pCol440I-A1-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LC505458.1	"Klebsiella pneumoniae strain A1-1 plasmid pColRNAI-A1-1, complete sequence"	pColRNAI-A1-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LC508263.1	"Klebsiella pneumoniae strain A1-3 plasmid pA1-3, complete sequence"	pA1-3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909348.1	"Klebsiella pneumoniae strain A1705 plasmid pA1705-KPC, complete sequence"	pA1705-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909349.1	"Klebsiella pneumoniae strain A1705 plasmid pA1705-NDM, complete sequence"	pA1705-NDM	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909350.1	"Klebsiella pneumoniae strain A1706 plasmid pA1706-KPC, complete sequence"	pA1706-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH917279.1	"Klebsiella pneumoniae strain A1706 plasmid pA1706-NDM, complete sequence"	pA1706-NDM	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MW013142.1	"Klebsiella pneumoniae strain A1718 plasmid pA1718-HI3, complete sequence"	pA1718-HI3	290842	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	China: Nanjing	NA	NA
NZ_MN891680.1	"Klebsiella pneumoniae strain A1718 plasmid pA1718-KPC, complete sequence"	pA1718-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909332.1	"Klebsiella pneumoniae strain A1731 plasmid pA1731-KPC, complete sequence"	pA1731-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MT108206.1	"Klebsiella pneumoniae strain A1743 plasmid pA1743-KPC, complete sequence"	pA1743-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MT108207.1	"Klebsiella pneumoniae strain A1750 plasmid pA1750-KPC, complete sequence"	pA1750-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909338.1	"Klebsiella pneumoniae strain A1759 plasmid pA1759-KPC, complete sequence"	pA1759-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MG764552.1	"Klebsiella pneumoniae strain A1763 plasmid pA1763-Ct2, complete sequence"	pA1763-Ct2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH909340.1	"Klebsiella pneumoniae strain A1763 plasmid pA1763-KPC, complete sequence"	pA1763-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MN586817.1	"Klebsiella pneumoniae strain A1966 plasmid pA1966-NR, complete sequence"	pA1966-NR	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_LC508722.1	"Klebsiella pneumoniae strain A2-1 plasmid pA2-1, complete sequence"	pA2-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MN310378.1	"Klebsiella pneumoniae strain A2293 plasmid pA2293-Ct2, complete sequence"	pA2293-Ct2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF344566.1	"Klebsiella pneumoniae strain A324 plasmid pA324-IMP, complete sequence"	pA324-IMP	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MG764553.1	"Klebsiella pneumoniae strain A3295 plasmid pA3295-KPC, complete sequence"	pA3295-KPC	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MH917282.1	"Klebsiella pneumoniae strain A457 plasmid pA457-NDA, complete sequence"	pA457-NDA	54032	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	China: Guangdong	NA	NA
NZ_MH917283.1	"Klebsiella pneumoniae strain A575 plasmid pA575-NDM, complete sequence"	pA575-NDM	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_KP689347.1	"Klebsiella pneumoniae strain A60136 plasmid p60136, complete sequence"	p60136	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150123.1	"Klebsiella pneumoniae strain A64216 plasmid pKP64216b, complete sequence"	pKP64216b	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150124.1	"Klebsiella pneumoniae strain A64216 plasmid pKP64216c, complete sequence"	pKP64216c	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150122.1	"Klebsiella pneumoniae strain A64477 plasmid pKP64477b, complete sequence"	pKP64477b	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150121.1	"Klebsiella pneumoniae strain A64477 plasmid pKP64477c, complete sequence"	pKP64477c	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150120.1	"Klebsiella pneumoniae strain A64477 plasmid pKP64477d, complete sequence"	pKP64477d	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF150119.1	"Klebsiella pneumoniae strain A64477 plasmid pKP64477e, complete sequence"	pKP64477e	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF344567.1	"Klebsiella pneumoniae strain A708 plasmid pA708-IMP, complete sequence"	pA708-IMP	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MF774791.1	"Klebsiella pneumoniae strain ABC120 plasmid pABC120-OXA, complete sequence"	pABC120-OXA	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK412914.1	"Klebsiella pneumoniae strain ABC220 plasmid pABC220-KPC-2, complete sequence"	pABC220-KPC-2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK412915.1	"Klebsiella pneumoniae strain ABC260 plasmid pABC260-OXA-181, complete sequence"	pABC260-OXA-181	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK372393.1	"Klebsiella pneumoniae strain ABC369 plasmid pABC369-NDM-5, complete sequence"	pABC369-NDM-5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK372381.1	"Klebsiella pneumoniae strain ABC52 plasmid pABC52-NDM-1, complete sequence"	pABC52-NDM-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP061279.1	"Klebsiella pneumoniae strain AH8I plasmid pHNAH8I-mcr1, complete sequence"	pHNAH8I-mcr1	33310	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2017	China	NA	NA
NZ_MH061196.1	"Klebsiella pneumoniae strain AHM7C25I plasmid pHNAH25I-MCR, complete sequence"	pHNAH25I-MCR	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK347425.1	"Klebsiella pneumoniae strain AHM7C8I plasmid pHNAH8I-1, complete sequence"	pHNAH8I-1	121961	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2017	China	chicken	NA
NZ_MH061195.1	"Klebsiella pneumoniae strain AHM7C8I plasmid pHNAH8I-NDM, complete sequence"	pHNAH8I-NDM	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_KU665641.1	"Klebsiella pneumoniae strain AO-15200 plasmid pG06-VIM-1, complete sequence"	pG06-VIM-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP035384.1	"Klebsiella pneumoniae strain AP8555 plasmid pAP855, complete sequence"	pAP855	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP027161.1	"Klebsiella pneumoniae strain AR_0361 plasmid unnamed1, complete sequence"	unnamed1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP027158.1	"Klebsiella pneumoniae strain AR_0361 plasmid unnamed2, complete sequence"	unnamed2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP027152.1	"Klebsiella pneumoniae strain AR_0363 plasmid unnamed1, complete sequence"	unnamed1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP030343.1	"Klebsiella pneumoniae strain AR_362 plasmid unnamed1, complete sequence"	unnamed1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP030342.1	"Klebsiella pneumoniae strain AR_362 plasmid unnamed2, complete sequence"	unnamed2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029135.1	"Klebsiella pneumoniae strain AR376 plasmid unnamed1, complete sequence"	unnamed1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029136.1	"Klebsiella pneumoniae strain AR376 plasmid unnamed2, complete sequence"	unnamed2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029138.1	"Klebsiella pneumoniae strain AR376 plasmid unnamed3, complete sequence"	unnamed3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029139.1	"Klebsiella pneumoniae strain AR376 plasmid unnamed4, complete sequence"	unnamed4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029101.1	"Klebsiella pneumoniae strain AR438 plasmid unnamed3, complete sequence"	unnamed3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP029102.1	"Klebsiella pneumoniae strain AR438 plasmid unnamed4, complete sequence"	unnamed4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP006663.1	"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pCuAs, complete sequence"	pCuAs	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP006662.2	"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pHg, complete sequence"	pHg	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP006660.1	"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pMYS, complete sequence"	pMYS	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP006661.1	"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pNDM-US, complete sequence"	pNDM-US	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_KJ588779.1	"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pNDM-US-2, complete sequence"	pNDM-US-2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP025006.1	"Klebsiella pneumoniae strain AUSMDU00003562 plasmid pAUSMDU3562-1, complete sequence"	pAUSMDU3562-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP025007.1	"Klebsiella pneumoniae strain AUSMDU00003562 plasmid pAUSMDU3562-2, complete sequence"	pAUSMDU3562-2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP025009.1	"Klebsiella pneumoniae strain AUSMDU00008119 plasmid pAUSMDU8119-1, complete sequence"	pAUSMDU8119-1	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP025010.1	"Klebsiella pneumoniae strain AUSMDU00008119 plasmid pAUSMDU8119-2, complete sequence"	pAUSMDU8119-2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_MK264769.1	"Klebsiella pneumoniae strain B11 plasmid pKPB11, complete sequence"	pKPB11	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	NA	NA	NA	NA
NZ_CP026156.1	"Klebsiella pneumoniae strain B12(AN) plasmid pB12AN_1, complete sequence"	pB12AN_1	77359	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2011/5/12	40.657 N 109.84 E	sputum	NA
NZ_CP070446.1	"Klebsiella pneumoniae strain B12097 plasmid p1B12097, complete sequence"	p1B12097	127805	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9165 N 79.1325 E	blood	NA
NZ_CP070447.1	"Klebsiella pneumoniae strain B12097 plasmid p2B12097, complete sequence"	p2B12097	10405	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9165 N 79.1325 E	blood	NA
NZ_CP070448.1	"Klebsiella pneumoniae strain B12097 plasmid p3B12097, complete sequence"	p3B12097	6141	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9165 N 79.1325 E	blood	NA
NZ_CP072457.1	"Klebsiella pneumoniae strain b1-2L plasmid pb1-2L-1, complete sequence"	pb1-2L-1	185386	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2019/5/11	China:Guangxi	NA	NA
NZ_CP072458.1	"Klebsiella pneumoniae strain b1-2L plasmid pb1-2L-2, complete sequence"	pb1-2L-2	111105	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2019/5/11	China:Guangxi	NA	NA
NZ_CP072459.1	"Klebsiella pneumoniae strain b1-2L plasmid pb1-2L-3, complete sequence"	pb1-2L-3	2460	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2019/5/11	China:Guangxi	NA	NA
NZ_CP072404.1	"Klebsiella pneumoniae strain B13243 plasmid p1B13243, complete sequence"	p1B13243	127805	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9246 N 79.1348 E	blood	NA
NZ_CP072405.1	"Klebsiella pneumoniae strain B13243 plasmid p2B13243, complete sequence"	p2B13243	10405	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9246 N 79.1348 E	blood	NA
NZ_CP072406.1	"Klebsiella pneumoniae strain B13243 plasmid p3B13243, complete sequence"	p3B13243	6141	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9246 N 79.1348 E	blood	NA
NZ_CP072407.1	"Klebsiella pneumoniae strain B13243 plasmid p4B13243, complete sequence"	p4B13243	4863	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2015	12.9246 N 79.1348 E	blood	NA
NZ_CP070416.1	"Klebsiella pneumoniae strain B1347 plasmid p1B1247, complete sequence"	p1B1247	127805	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2021	12.9165 N 79.1325 E	blood	NA
